supplier_name,category,on_time_rate,quantity_fulfillment_rate,defect_rate,quality_complaints,gst_filed_q1,gst_filed_q2,gst_filed_q3,gst_filed_q4,advance_payment_requests,response_time_hours,last_minute_reschedules,late_deliveries_last_6_months,location
Ram Textiles,Fabric,58,72,12,8,Yes,No,No,No,4,18,5,4,Surat
Sharma Fabrics,Fabric,94,98,1.2,1,Yes,Yes,Yes,Yes,0,2,0,0,Bhopal
Raju Zippers,Zippers,76,88,3.5,3,Yes,Yes,No,Yes,1,6,2,2,Mumbai
Krishna Foam,Foam,89,95,2.1,1,Yes,Yes,Yes,Yes,0,3,1,0,Pune
Delhi Thread Co,Thread,65,79,6.8,5,Yes,No,No,No,3,12,3,3,Delhi
Meera Buttons,Buttons,91,97,1.5,0,Yes,Yes,Yes,Yes,0,2,0,0,Jaipur
Suresh Packaging,Packaging,82,90,2.8,2,Yes,Yes,Yes,No,1,5,1,1,Ahmedabad
Ganesh Dyes,Dyes,70,83,4.2,3,Yes,Yes,No,No,2,9,2,2,Surat
Patel Logistics,Logistics,88,93,1.8,1,Yes,Yes,Yes,Yes,0,4,0,0,Mumbai
Vikram Elastics,Elastics,55,68,9.5,7,Yes,No,No,No,3,15,4,3,Delhi
